GEOID,County,Borough,population,median_income,pct_hispanic,pct_white,pct_black,pct_native,pct_asian,poverty_pct,child_poverty_pct,commute_drive_pct,commute_carpool_pct,commute_transit_pct,commute_walk_pct,commute_work_home_pct,mean_commute,n_listings,n_unique_hosts,n_entire_home,availability_365,number_of_reviews,share_entire_home,listings_per_1000_residents,median_income_z,pct_white_z,poverty_pct_z,gentrification_proxy,gentrifying,listings_per_1000_capped
36005004001,Bronx,Bronx,1419,48056.0,51.3,11.2,10.8,0.0,21.6,16.6,28.6,31.0,3.0,62.9,3.2,0.0,47.4,2.0,1.0,2.0,364.5,4.5,1.0,1.4094432699083863,-0.38393046433115186,-0.71860332315002,-0.22379735371311568,-0.8787364337680561,0,1.4094432699083863
36005004100,Bronx,Bronx,6476,18636.0,75.8,0.5,23.4,0.0,0.2,53.3,67.4,6.7,0.5,75.1,16.2,0.8,43.5,5.0,5.0,4.0,129.2,52.0,0.8,0.7720815318097591,-1.4119846521871147,-1.070411357405537,2.5495256464051654,-5.031921655997817,0,0.7720815318097591
36005004200,Bronx,Bronx,7120,25741.0,46.5,5.1,47.0,0.0,0.8,40.5,56.4,19.4,2.7,68.9,7.2,1.0,48.5,3.0,2.0,0.0,276.0,40.66666666666666,0.0,0.4213483146067416,-1.163707119735836,-0.9191667819312025,1.5822631286527407,-3.665137030319779,0,0.4213483146067416
36005004300,Bronx,Bronx,6057,21448.0,74.1,0.4,23.4,0.0,0.0,46.6,55.2,13.4,2.6,66.4,12.6,4.0,39.6,15.0,8.0,2.0,159.46666666666667,10.333333333333334,0.1333333333333333,2.4764735017335315,-1.3137219609481285,-1.0736992829593268,2.043224172269131,-4.430645416176587,0,2.4764735017335315
36005004400,Bronx,Bronx,4754,22719.0,60.6,2.4,35.2,0.0,1.7,34.8,46.6,15.9,5.6,72.4,2.5,2.8,43.2,2.0,2.0,0.0,343.0,9.0,0.0,0.4206983592763988,-1.2693080631655003,-1.0079407718835294,1.1515290387161137,-3.428777873765143,0,0.4206983592763988
36005004600,Bronx,Bronx,1869,40950.0,59.7,3.0,36.6,0.4,0.0,25.5,37.1,35.3,8.3,47.1,9.3,0.0,33.7,1.0,1.0,0.0,179.0,0.0,0.0,0.5350454788657035,-0.6322429408404813,-0.98821321856079,0.44875236566161736,-2.0692085250628884,0,0.5350454788657035
36005004800,Bronx,Bronx,3999,30301.0,71.7,1.2,23.8,0.0,2.4,33.2,41.9,14.0,5.0,71.0,6.6,3.4,42.1,2.0,2.0,0.0,365.0,2.0,0.0,0.5001250312578145,-1.0043622150239668,-1.0473958785290078,1.030621223997061,-3.0823793175500356,0,0.5001250312578145
36005005001,Bronx,Bronx,4885,27456.0,58.4,0.0,36.8,0.0,0.0,34.4,50.2,14.7,4.3,69.6,8.0,3.3,48.2,,,,,,,0.0,-1.103778060178631,-1.0868509851744863,1.1213020850363504,-3.3119311303894676,0,0.0
36005005002,Bronx,Bronx,5650,28039.0,73.2,0.4,17.1,1.4,0.2,45.6,60.7,5.4,3.4,75.1,10.4,3.3,48.2,,,,,,,0.0,-1.0834056743349862,-1.0736992829593268,1.9676567880697227,-4.124761745364036,0,0.0
36005005100,Bronx,Bronx,5653,18633.0,69.7,0.1,28.1,2.1,0.0,49.4,70.1,2.4,2.0,92.2,2.5,0.5,43.6,,,,,,,0.0,-1.4120894843612672,-1.0835630596206964,2.254812848027474,-4.7504653920094375,0,0.0
36005005200,Bronx,Bronx,2277,17756.0,69.7,0.5,26.7,0.0,2.9,49.3,57.8,14.0,3.7,54.0,12.0,9.0,43.2,1.0,1.0,1.0,0.0,0.0,1.0,0.4391743522178305,-1.4427354232718612,-1.070411357405537,2.2472561096075325,-4.760402890284931,0,0.4391743522178305
36005005300,Bronx,Bronx,3727,17719.0,44.1,3.0,50.7,0.5,0.2,54.7,70.0,11.0,4.4,78.7,3.6,0.0,56.8,1.0,1.0,0.0,0.0,0.0,0.0,0.26831231553528306,-1.4440283534197427,-0.98821321856079,2.6553199842843376,-5.08756155626487,0,0.26831231553528306
36005005400,Bronx,Bronx,6219,27380.0,71.7,0.0,21.0,0.0,1.8,41.7,55.8,15.0,3.1,67.9,5.6,3.9,41.3,,,,,,,0.0,-1.1064338085904954,-1.0868509851744863,1.6729439896920306,-3.8662287834570126,0,0.0
36005005600,Bronx,Bronx,2468,17771.0,66.4,1.0,24.4,0.0,1.8,38.0,52.0,17.6,7.4,65.0,8.7,1.3,40.0,,,,,,,0.0,-1.4422112624010985,-1.0539717296365876,1.39334466815422,-3.8895276601919058,0,0.0
36005005902,Bronx,Bronx,3131,38542.0,70.4,1.8,23.1,2.6,1.3,26.9,18.3,13.6,2.6,66.5,8.6,8.7,40.1,1.0,1.0,0.0,179.0,0.0,0.0,0.31938677738741617,-0.7163882326269244,-1.0276683252062686,0.5545467035407887,-2.298603261373982,0,0.31938677738741617
36005006000,Bronx,Bronx,1256,41190.0,69.4,4.1,21.4,0.0,1.8,35.2,46.8,25.9,4.7,61.2,3.5,4.7,40.4,,,,,,,0.0,-0.6238563669082776,-0.9520460374691013,1.1817559923958774,-2.757658396773256,0,0.0
36005006100,Bronx,Bronx,3706,48298.0,16.8,2.1,77.1,0.0,0.5,9.8,7.7,27.0,0.8,64.5,7.7,0.0,37.5,3.0,2.0,1.0,173.0,38.0,0.3333333333333333,0.809498111171074,-0.3754740022828465,-1.017804548544899,-0.7376555662690916,-0.6556229845586539,0,0.809498111171074
36005006200,Bronx,Bronx,7610,24480.0,69.6,0.0,30.2,0.0,0.2,34.7,55.0,17.6,0.4,66.7,5.2,7.1,41.6,,,,,,,0.0,-1.207771576937956,-1.0868509851744863,1.1439723002961733,-3.438594862408616,0,0.0
36005006300,Bronx,Bronx,4431,32064.0,69.1,3.7,20.6,0.8,5.0,27.7,45.0,12.9,0.8,73.3,10.4,0.0,41.4,,,,,,,0.0,-0.942755840680321,-0.9651977396842609,0.6150006109003154,-2.5229541912648976,0,0.0
36005006400,Bronx,Bronx,3590,30726.0,54.8,8.3,31.8,0.0,1.1,41.1,63.9,32.0,0.8,63.8,0.7,2.1,46.7,1.0,1.0,0.0,364.0,6.0,0.0,0.2785515320334262,-0.9895109903523562,-0.8139531642099265,1.6276035591723856,-3.4310677137346683,0,0.2785515320334262
36005006500,Bronx,Bronx,5487,21384.0,60.5,4.8,32.7,0.0,1.4,44.2,63.3,3.3,0.0,73.5,18.1,5.1,35.9,,,,,,,0.0,-1.315958380663383,-0.9290305585925722,1.8618624501905512,-4.106851389446506,0,0.0
36005006700,Bronx,Bronx,7421,21016.0,66.3,1.8,29.4,0.5,0.0,47.1,67.1,7.8,0.8,62.9,17.9,5.7,46.2,,,,,,,0.0,-1.3288177940260952,-1.0276683252062686,2.081007864368835,-4.437493983601199,0,0.0
36005006800,Bronx,Bronx,3288,47232.0,59.1,3.1,29.5,0.0,4.2,22.5,33.9,25.6,5.8,58.5,5.1,1.1,42.9,,,,,,,0.0,-0.412724368165051,-0.984925293007,0.2220502130633927,-1.6196998742354438,0,0.0
36005006900,Bronx,Bronx,8554,19741.0,58.8,2.5,36.1,0.0,1.3,44.0,48.5,15.5,3.9,63.8,12.0,4.9,38.3,5.0,3.0,2.0,203.8,34.8,0.4,0.5845218611176057,-1.373371468040927,-1.0046528463297395,1.8467489733506695,-4.2247732877213355,0,0.5845218611176057
36005007000,Bronx,Bronx,4568,34191.0,64.1,2.3,25.0,0.7,5.1,30.1,55.3,14.2,4.5,72.5,3.9,4.0,45.4,,,,,,,0.0,-0.8684298292061663,-1.0112286974373192,0.7963623329788952,-2.6760208596223807,0,0.0
36005007100,Bronx,Bronx,2547,38289.0,60.7,1.1,36.4,0.0,0.9,28.8,37.8,19.2,0.5,68.3,9.4,1.4,44.4,5.0,3.0,1.0,250.8,21.0,0.2,1.9630938358853554,-0.7252290793137891,-1.0506838040827977,0.6981247335196645,-2.4740376169162515,0,1.9630938358853554
36005007200,Bronx,Bronx,5822,37634.0,50.4,6.2,15.3,0.0,22.2,33.4,48.0,29.4,0.9,60.1,5.0,2.3,42.2,,,,,,,0.0,-0.7481174373370949,-0.8829996008395139,1.0457347008369422,-2.676851739013551,0,0.0
36005007300,Bronx,Bronx,3761,18358.0,63.0,2.0,33.9,0.1,0.0,50.7,60.0,12.2,1.9,61.8,9.5,12.0,46.2,3.0,3.0,0.0,227.0,34.333333333333336,0.0,0.7976601967561818,-1.4216991003252506,-1.0210924740986889,2.3530504474867047,-4.795842021910644,0,0.7976601967561818
36005007400,Bronx,Bronx,3635,44455.0,72.8,1.5,25.5,0.0,0.2,19.3,40.6,40.8,6.8,46.4,3.3,2.7,45.4,1.0,1.0,0.0,353.0,61.0,0.0,0.2751031636863824,-0.5097640173722573,-1.0375321018676382,-0.01976541637471354,-1.5275307028651819,0,0.2751031636863824
36005007500,Bronx,Bronx,5599,25452.0,58.8,1.8,38.5,0.9,0.0,31.7,43.5,18.6,3.8,63.1,10.1,2.7,38.8,6.0,5.0,0.0,234.66666666666663,36.5,0.0,1.0716199321307376,-1.1738059525125313,-1.0276683252062686,0.9172701476979482,-3.1187444254167485,0,1.0716199321307376
36005007600,Bronx,Bronx,5587,33465.0,63.7,3.3,19.4,1.5,9.3,34.6,50.3,26.7,5.8,61.0,3.2,2.3,39.4,,,,,,,0.0,-0.8937992153510822,-0.9783494418994204,1.1364155618762322,-3.0085642191267348,0,0.0
36005007700,Bronx,Bronx,1933,26486.0,70.8,2.5,26.3,0.4,0.0,37.8,52.5,15.5,10.4,60.2,8.3,3.1,40.2,2.0,2.0,0.0,76.0,18.0,0.0,1.0346611484738748,-1.137673796487954,-1.0046528463297395,1.3782311913143381,-3.5205578341320316,0,1.0346611484738748
36005007800,Bronx,Bronx,6518,30437.0,66.2,4.4,15.8,0.0,11.7,31.0,40.9,21.5,10.2,57.6,5.6,3.1,37.6,2.0,2.0,0.0,332.5,76.0,0.0,0.3068425897514575,-0.9996098231290514,-0.9421822608077318,0.8643729787583626,-2.806165062695146,0,0.3068425897514575
36005007900,Bronx,Bronx,6420,24278.0,77.6,0.1,21.6,0.0,0.0,44.7,63.0,13.8,0.0,71.0,10.0,4.1,41.1,4.0,3.0,0.0,238.5,87.25,0.0,0.6230529595015577,-1.2148302766642274,-1.0835630596206964,1.8996461422902553,-4.198039478575179,0,0.6230529595015577
36005008300,Bronx,Bronx,6882,19818.0,79.1,0.4,15.6,0.0,4.2,41.9,55.1,10.5,2.4,74.2,6.2,3.5,42.1,6.0,6.0,3.0,144.16666666666666,13.5,0.5,0.8718395815170009,-1.3706807755710118,-1.0736992829593268,1.6880574665319121,-4.132437525062251,0,0.8718395815170009
36005008400,Bronx,Bronx,2289,60135.0,60.8,1.5,30.1,0.9,3.4,13.6,23.7,36.6,5.2,54.2,4.0,0.0,41.8,4.0,3.0,2.0,330.5,30.0,0.5,1.747487986020096,0.03815881286504716,-1.0375321018676382,-0.45049950631134045,-0.5488737826912506,0,1.747487986020096
36005008500,Bronx,Bronx,5959,27174.0,77.4,1.0,19.5,0.0,1.0,39.3,41.9,13.1,3.4,66.7,11.7,1.9,37.9,4.0,3.0,1.0,154.0,1.75,0.25,0.6712535660345696,-1.1136322845489701,-1.0539717296365876,1.4915822676134505,-3.659186281799008,0,0.6712535660345696
36005008600,Bronx,Bronx,3874,23045.0,69.2,0.4,24.9,0.0,4.9,39.1,49.1,17.9,5.2,61.7,14.6,0.6,46.2,,,,,,,0.0,-1.2579163002409235,-1.0736992829593268,1.4764687907735692,-3.808084373973819,0,0.0
36005008700,Bronx,Bronx,6002,29188.0,76.9,2.2,20.5,0.0,0.0,30.4,36.2,9.5,4.0,70.7,7.5,6.0,44.5,2.0,2.0,1.0,226.0,10.0,0.5,0.33322225924691773,-1.0432549516345613,-1.0145166229911091,0.8190325482387175,-2.876804122864388,0,0.33322225924691773
36005008900,Bronx,Bronx,3438,20849.0,79.9,1.6,16.6,0.5,1.4,32.5,26.8,11.7,4.9,67.7,10.4,4.1,44.3,,,,,,,0.0,-1.3346534517205868,-1.0342441763138484,0.9777240550574748,-3.34662168309191,0,0.0
36005009000,Bronx,Bronx,3476,27000.0,66.5,3.3,24.6,0.0,4.7,36.7,48.8,36.4,6.5,47.8,4.8,4.4,43.8,,,,,,,0.0,-1.1197125506498178,-0.9783494418994204,1.2951070686949897,-3.393169061244228,0,0.0
36005009200,Bronx,Bronx,5622,35227.0,60.9,2.8,14.2,0.0,17.8,21.3,28.2,13.2,8.1,67.9,6.7,0.4,48.4,3.0,3.0,2.0,359.0,54.66666666666666,0.6666666666666666,0.5336179295624334,-0.8322277850654872,-0.9947890696683698,0.1313693520241029,-1.9583862067579598,0,0.5336179295624334
36005009300,Bronx,Bronx,6517,30159.0,72.6,1.2,25.8,0.1,0.0,40.7,49.7,24.0,2.3,45.4,23.3,3.9,40.1,,,,,,,0.0,-1.0093242712671875,-1.0473958785290078,1.5973766054926224,-3.6540967552888177,0,0.0
36005009600,Bronx,Bronx,2562,41250.0,57.3,6.8,20.2,0.0,14.9,15.6,10.6,22.4,7.2,52.4,12.2,3.7,38.0,,,,,,,0.0,-0.6217597234252267,-0.8632720475167747,-0.29936473791252405,-1.1856670330294774,0,0.0
36005009800,Bronx,Bronx,5041,57438.0,70.1,2.8,21.9,0.0,2.9,23.3,41.2,39.7,6.4,49.8,3.1,0.0,48.3,5.0,4.0,3.0,339.6,14.8,0.6,0.9918666931164452,-0.056085311698091236,-0.9947890696683698,0.28250412042291934,-1.3333785017893802,0,0.9918666931164452
36005011000,Bronx,Bronx,153,,100.0,0.0,0.0,0.0,0.0,20.9,0.0,42.1,0.0,44.2,0.0,13.7,,,,,,,,0.0,-0.15857623396122988,-1.0868509851744863,0.10114239834433945,-1.3465696174800554,0,0.0
36005011502,Bronx,Bronx,4566,21765.0,67.4,0.5,30.8,0.1,1.1,47.6,56.7,17.3,2.8,65.3,11.5,2.7,40.5,,,,,,,0.0,-1.3026446945460097,-1.070411357405537,2.118791556468539,-4.491847608420086,0,0.0
36005011700,Bronx,Bronx,1603,25483.0,72.1,2.1,25.9,0.0,0.0,33.4,42.2,13.3,7.3,55.3,18.4,5.6,38.3,,,,,,,0.0,-1.172722686712955,-1.017804548544899,1.0457347008369422,-3.236261936094796,0,0.0
36005011800,Bronx,Bronx,5364,83077.0,20.1,73.1,1.7,0.0,4.2,11.3,11.3,52.6,13.4,25.6,4.4,3.1,34.7,,,,,,,0.0,0.8398453926676134,1.3166225946459147,-0.6243044899699793,2.780772477283507,1,0.0
36005011900,Bronx,Bronx,5603,22097.0,68.8,0.3,28.1,0.4,0.0,39.3,46.3,7.1,3.0,76.8,5.5,7.0,44.3,,,,,,,0.0,-1.291043267273128,-1.076987208513117,1.4915822676134505,-3.859612743399696,0,0.0
36005012101,Bronx,Bronx,3057,27813.0,72.8,3.4,21.8,0.0,1.1,43.1,48.5,14.4,3.1,77.7,1.6,2.7,46.4,,,,,,,0.0,-1.091303031454478,-0.9750615163456305,1.778738327571202,-3.8451028753713103,0,0.0
36005012102,Bronx,Bronx,1835,20028.0,81.9,0.9,16.1,0.0,0.0,49.6,61.0,15.7,5.2,70.2,8.9,0.0,44.1,,,,,,,0.0,-1.3633425233803336,-1.0572596551903775,2.2699263248673556,-4.690528503438067,0,0.0
36005012300,Bronx,Bronx,4379,21300.0,66.3,0.5,28.0,0.0,0.7,45.1,59.5,12.5,1.8,69.6,9.8,4.5,43.3,,,,,,,0.0,-1.3188936815396541,-1.070411357405537,1.9298730959700185,-4.31917813491521,0,0.0
36005012500,Bronx,Bronx,4272,26348.0,71.0,1.4,22.1,1.7,2.0,42.9,57.0,21.5,3.7,61.6,6.0,3.0,39.3,,,,,,,0.0,-1.1424960764989711,-1.040820027421428,1.7636248507313204,-3.946940954651719,0,0.0
36005012701,Bronx,Bronx,1992,18641.0,78.3,2.1,16.1,0.3,2.8,49.4,59.9,4.4,4.3,72.2,16.9,0.5,39.7,1.0,1.0,0.0,0.0,0.0,0.0,0.502008032128514,-1.4118099318968604,-1.017804548544899,2.254812848027474,-4.6844273284692335,0,0.502008032128514
36005012901,Bronx,Bronx,4017,18269.0,58.1,2.5,36.1,0.0,2.4,48.9,54.1,7.9,3.2,75.6,7.4,5.8,43.4,2.0,2.0,0.0,364.0,5.5,0.0,0.4978839930296241,-1.424809121491776,-1.0046528463297395,2.2170291559277695,-4.646491123749285,0,0.4978839930296241
36005013000,Bronx,Bronx,1364,77917.0,41.2,55.1,1.5,0.0,0.0,5.7,3.2,52.1,14.6,30.4,0.9,2.0,39.2,1.0,1.0,0.0,364.0,249.0,0.0,0.7331378299120235,0.6595340531252352,0.7247959949637367,-1.0474818414866653,2.431811889575637,1,0.7331378299120235
36005013100,Bronx,Bronx,4685,25271.0,71.4,0.8,24.3,0.0,1.8,35.5,37.7,16.5,2.7,67.2,6.0,4.9,42.8,,,,,,,0.0,-1.1801308270197348,-1.0605475807441676,1.2044262076556995,-3.445104615419602,0,0.0
36005013200,Bronx,Bronx,7426,96701.0,50.0,31.3,10.7,0.0,3.8,7.0,15.8,54.0,6.8,30.6,7.0,0.0,41.4,10.0,8.0,6.0,270.0,15.3,0.6,1.3466199838405601,1.3159232395523732,-0.057730286838254374,-0.9492442420274346,2.2074371947415536,1,1.3466199838405601
36005013300,Bronx,Bronx,7284,25282.0,69.8,1.0,28.8,0.0,0.0,25.5,26.4,18.9,3.5,62.0,5.3,2.1,36.5,6.0,5.0,3.0,75.5,54.5,0.5,0.8237232289950577,-1.1797464423811754,-1.0539717296365876,0.44875236566161736,-2.6824705376793805,0,0.8237232289950577
36005013500,Bronx,Bronx,3908,23279.0,62.0,1.3,32.2,0.8,0.0,40.2,55.9,19.0,0.9,68.2,6.8,1.6,41.6,5.0,4.0,0.0,97.4,47.6,0.0,1.2794268167860798,-1.249739390657025,-1.044107952975218,1.5595929133929183,-3.853440257025161,0,1.2794268167860798
36005013800,Bronx,Bronx,2989,79773.0,21.6,67.4,4.9,0.0,4.9,5.5,0.0,59.1,12.6,24.5,1.7,2.2,35.6,,,,,,,0.0,0.72439022486761,1.129210838079892,-1.062595318326547,2.916196381274049,1,0.0
36005014100,Bronx,Bronx,5355,32500.0,61.2,0.8,36.2,0.0,0.9,26.2,31.6,15.1,2.2,70.6,10.1,2.0,43.8,7.0,6.0,2.0,167.71428571428572,80.0,0.2857142857142857,1.3071895424836601,-0.927520231370151,-1.0605475807441676,0.5016495346012031,-2.489717346715522,0,1.3071895424836601
36005014300,Bronx,Bronx,968,12000.0,46.2,5.4,42.1,1.0,4.2,52.2,46.6,7.8,0.0,73.1,10.5,4.1,39.7,,,,,,,0.0,-1.6438734214125452,-0.909303005269833,2.466401523785817,-5.019577950468195,0,0.0
36005014400,Bronx,Bronx,6049,19418.0,58.7,1.8,35.3,0.0,3.6,46.4,56.2,31.4,4.4,55.7,6.3,0.4,58.5,1.0,1.0,0.0,89.0,4.0,0.0,0.16531658125309967,-1.384658398791351,-1.0276683252062686,2.028110695429249,-4.4404374194268685,0,0.16531658125309967
36005014500,Bronx,Bronx,7360,22711.0,60.3,0.8,36.3,1.1,0.2,50.4,58.6,13.6,8.7,69.0,8.7,0.0,52.4,3.0,3.0,1.0,232.33333333333331,11.0,0.3333333333333333,0.4076086956521739,-1.269587615629907,-1.0605475807441676,2.330380232226882,-4.660515428600957,0,0.4076086956521739
36005014701,Bronx,Bronx,7023,14334.0,52.8,1.2,45.6,0.0,0.0,61.0,68.3,9.2,1.3,78.7,8.2,2.6,46.0,,,,,,,0.0,-1.5623139899218648,-1.0473958785290078,3.131394504740609,-5.741104373191481,0,0.0
36005014702,Bronx,Bronx,5243,17782.0,59.4,0.4,39.0,0.0,0.0,57.8,79.0,4.8,1.3,80.9,10.0,2.2,44.9,,,,,,,0.0,-1.4418268777625391,-1.0736992829593268,2.8895788753025027,-5.405105036024368,0,0.0
36005014900,Bronx,Bronx,4348,27212.0,59.1,2.3,35.2,0.0,0.2,48.5,53.8,32.7,4.3,52.9,2.9,4.2,41.6,,,,,,,0.0,-1.112304410343038,-1.0112286974373192,2.1868022022480065,-4.310335310028364,0,0.0
36005015100,Bronx,Bronx,5458,30339.0,56.9,1.3,40.4,0.0,0.0,28.2,37.6,21.3,4.3,58.6,6.1,1.8,42.4,,,,,,,0.0,-1.0030343408180347,-1.044107952975218,0.6527843030000196,-2.699926596793272,0,0.0
36005015200,Bronx,Bronx,2803,70162.0,60.7,26.0,6.0,0.0,4.5,14.0,20.6,41.5,19.0,33.0,3.5,1.7,36.3,1.0,1.0,1.0,87.0,0.0,1.0,0.35676061362825545,0.38854288294090505,-0.23199034118911796,-0.42027255263157715,0.5768250943833643,0,0.35676061362825545
36005015300,Bronx,Bronx,4466,19630.0,52.6,0.7,45.5,0.0,0.9,50.8,69.3,16.3,2.0,71.1,7.4,1.5,43.7,2.0,2.0,1.0,124.5,29.0,0.5,0.4478280340349306,-1.3772502584845712,-1.0638355062979572,2.360607185906645,-4.801692950689173,0,0.4478280340349306
36005015500,Bronx,Bronx,3178,21136.0,80.6,0.5,17.1,0.0,1.1,51.7,64.2,17.5,1.7,72.7,7.4,0.0,45.0,,,,,,,0.0,-1.3246245070599934,-1.070411357405537,2.428617831686113,-4.823653696151643,0,0.0
36005015700,Bronx,Bronx,4054,33785.0,66.4,1.0,30.8,0.0,0.4,26.7,34.2,16.5,1.9,71.5,8.4,1.4,42.8,2.0,2.0,1.0,182.0,32.5,0.5,0.49333991119881604,-0.8826171167748107,-1.0539717296365876,0.5394332267009072,-2.4760220731123055,0,0.49333991119881604
36005015800,Bronx,Bronx,1202,77045.0,49.6,36.7,6.3,0.0,3.0,11.5,10.4,43.4,6.9,38.3,4.4,3.2,40.8,,,,,,,0.0,0.6290628345048952,0.11981769306639914,-0.6091910131300977,1.358071540701392,1,0.0
36005015900,Bronx,Bronx,1420,16027.0,91.2,0.5,6.8,0.0,1.5,51.0,57.4,19.7,0.0,67.6,11.0,1.6,46.3,,,,,,,0.0,-1.5031536996417783,-1.070411357405537,2.375720662746527,-4.949285719793842,0,0.0
